Tanggal,Netto_kg_aktual,Netto_kg_prediksi
2022-12-14,65624.0,62822.426
2022-12-15,68432.0,63440.99
2022-12-16,80385.0,64021.156
2022-12-17,65135.0,64442.105
2022-12-18,81794.0,64747.09
2022-12-19,73883.0,64990.06
2022-12-20,57720.0,65161.688
2022-12-21,64860.99999999999,65265.93
2022-12-22,48767.0,65339.277
2022-12-23,86335.0,65319.31
2022-12-24,80385.0,65155.07
2022-12-25,70341.0,64892.02
2022-12-26,73499.0,64645.652
2022-12-27,60380.99999999999,64458.848
2022-12-28,40848.0,64316.14
2022-12-29,71865.0,64131.93
2022-12-30,71952.0,64058.7
2022-12-31,67631.0,63788.227
2023-01-01,67567.0,63534.523
2023-01-02,55738.0,63272.973
2023-01-03,7940.0,63021.414
2023-01-04,89556.0,62646.195
2023-01-05,84785.0,62206.848
2023-01-06,59531.00000000001,61785.9
2023-01-07,34175.0,61350.656
